"compartment","state","gene","donors","samples","cells","mean_expression","pct_expressing","aggregation","mean_expression_z"
"Fibroblast/pericyte","CD74hi HLADRB1hi venous pericyte","PLAUR",2,3,79,0.189775910364146,0.164098972922502,"Sample-first; samples equal-weighted",-0.539302647541248
"Fibroblast/pericyte","CD74hi HLADRB1hi venous pericyte","ICAM1",2,3,79,5.39519140989729,0.735877684407096,"Sample-first; samples equal-weighted",3.21813698561601
"Fibroblast/pericyte","CD74hi HLADRB1hi venous pericyte","CXCL8",2,3,79,1,0.0784313725490196,"Sample-first; samples equal-weighted",-0.259583005195305
"Fibroblast/pericyte","CD74hi HLADRB1hi venous pericyte","OSM",2,3,79,0,0,"Sample-first; samples equal-weighted",-0.368488865200951
"Myeloid","Mast","IL1B",10,13,631,0.0653103968181924,0.0409086295023961,"Sample-first; samples equal-weighted",-0.348110250777182
"Myeloid","Mast","IL6",10,13,631,0.00307692307692308,0.00307692307692308,"Sample-first; samples equal-weighted",-0.589168816306366
"Myeloid","Mast","CXCL10",10,13,631,0.00207900207900208,0.00207900207900208,"Sample-first; samples equal-weighted",-0.638397259210604
"Myeloid","Mast","CCL2",10,13,631,0.0416716714065025,0.0304993298868727,"Sample-first; samples equal-weighted",-0.63276929364194
"Myeloid","Mast","NFKB1",10,13,631,0.198699149748532,0.129785200681425,"Sample-first; samples equal-weighted",-0.986870820936842
"Myeloid","Mast","PLAUR",10,13,631,0.356557586830175,0.216958504227894,"Sample-first; samples equal-weighted",-0.419776428918628
"Myeloid","Mast","ICAM1",10,13,631,0.247296114359276,0.155948731180433,"Sample-first; samples equal-weighted",-0.626576935952899
"Myeloid","Mast","CXCL8",10,13,631,0.0326192809619332,0.0190224138048772,"Sample-first; samples equal-weighted",-0.508586322556841
"Myeloid","Mast","OSM",10,13,631,0.101598028885547,0.0696144610255467,"Sample-first; samples equal-weighted",0.255229143216765
"Fibroblast/pericyte","Myofibroblast","IL1B",9,13,719,0.0142122662011904,0.00817908369741962,"Sample-first; samples equal-weighted",-0.357242358659732
"Fibroblast/pericyte","Myofibroblast","IL6",9,13,719,0.0152293558776218,0.00808681414839808,"Sample-first; samples equal-weighted",-0.549567200563837
"Fibroblast/pericyte","Myofibroblast","CXCL10",9,13,719,0.449324244666285,0.0321710855640147,"Sample-first; samples equal-weighted",-0.0233204117631478
"Fibroblast/pericyte","Myofibroblast","CCL2",9,13,719,4.43944569572847,0.531973350383116,"Sample-first; samples equal-weighted",0.485682624114874
"Fibroblast/pericyte","Myofibroblast","NFKB1",9,13,719,0.267016571876711,0.219292264656834,"Sample-first; samples equal-weighted",-0.739189431468481
"Fibroblast/pericyte","Myofibroblast","PLAUR",9,13,719,0.236749918559832,0.175912637437012,"Sample-first; samples equal-weighted",-0.505638124602351
"Fibroblast/pericyte","Myofibroblast","ICAM1",9,13,719,0.67911054734568,0.232002777345954,"Sample-first; samples equal-weighted",-0.304075628772815
"Fibroblast/pericyte","Myofibroblast","CXCL8",9,13,719,0.139292168041837,0.03530441896224,"Sample-first; samples equal-weighted",-0.481128774320981
"Fibroblast/pericyte","Myofibroblast","OSM",9,13,719,0,0,"Sample-first; samples equal-weighted",-0.368488865200951
"Colonic epithelium","Non ileal BEST4 OTOP2","IL1B",10,16,1509,0.290632340914107,0.112792988139806,"Sample-first; samples equal-weighted",-0.307841374461277
"Colonic epithelium","Non ileal BEST4 OTOP2","IL6",10,16,1509,0.00142045454545455,0.00142045454545455,"Sample-first; samples equal-weighted",-0.594566816142994
"Colonic epithelium","Non ileal BEST4 OTOP2","CXCL10",10,16,1509,0.015361094494159,0.00866466592273044,"Sample-first; samples equal-weighted",-0.620130977644454
"Colonic epithelium","Non ileal BEST4 OTOP2","CCL2",10,16,1509,0.0292227698824443,0.0292227698824443,"Sample-first; samples equal-weighted",-0.63593532666377
"Colonic epithelium","Non ileal BEST4 OTOP2","NFKB1",10,16,1509,0.343164161121939,0.232873414538545,"Sample-first; samples equal-weighted",-0.463120163609731
"Colonic epithelium","Non ileal BEST4 OTOP2","PLAUR",10,16,1509,0.462548792534671,0.171039235709352,"Sample-first; samples equal-weighted",-0.343816477600527
"Colonic epithelium","Non ileal BEST4 OTOP2","ICAM1",10,16,1509,0.0202592077967461,0.0202592077967461,"Sample-first; samples equal-weighted",-0.79613981655917
"Colonic epithelium","Non ileal BEST4 OTOP2","CXCL8",10,16,1509,0.248965678988482,0.0618127767424944,"Sample-first; samples equal-weighted",-0.452898866989815
"Colonic epithelium","Non ileal BEST4 OTOP2","OSM",10,16,1509,0,0,"Sample-first; samples equal-weighted",-0.368488865200951
"Colonic epithelium","Non ileal CT colonocyte","IL1B",17,28,5724,0.225496418834832,0.111290243923217,"Sample-first; samples equal-weighted",-0.319482275219776
"Colonic epithelium","Non ileal CT colonocyte","IL6",17,28,5724,0.00232006437255341,0.00219296727036734,"Sample-first; samples equal-weighted",-0.591635221846178
"Colonic epithelium","Non ileal CT colonocyte","CXCL10",17,28,5724,0.0400778729354696,0.0109574823117214,"Sample-first; samples equal-weighted",-0.586139071828325
"Colonic epithelium","Non ileal CT colonocyte","CCL2",17,28,5724,0.0232309624333262,0.0218652156644191,"Sample-first; samples equal-weighted",-0.637459176796867
"Colonic epithelium","Non ileal CT colonocyte","NFKB1",17,28,5724,0.277500964930955,0.216158503409828,"Sample-first; samples equal-weighted",-0.701178789987669
"Colonic epithelium","Non ileal CT colonocyte","PLAUR",17,28,5724,2.99718480882359,0.525920496372037,"Sample-first; samples equal-weighted",1.47266279656855
"Colonic epithelium","Non ileal CT colonocyte","ICAM1",17,28,5724,0.0993858316447688,0.0500430831154454,"Sample-first; samples equal-weighted",-0.73704396965278
"Colonic epithelium","Non ileal CT colonocyte","CXCL8",17,28,5724,0.328906768760955,0.0877057006454865,"Sample-first; samples equal-weighted",-0.432322070124734
"Colonic epithelium","Non ileal CT colonocyte","OSM",17,28,5724,0.0017374998893198,0.0017374998893198,"Sample-first; samples equal-weighted",-0.357822221541817
