"gene_set","gene_symbol"
"IL6JAKSTAT3","PDGFC"
"IL6JAKSTAT3","PF4"
"IL6JAKSTAT3","PIK3R5"
"IL6JAKSTAT3","PIM1"
"IL6JAKSTAT3","PLA2G2A"
"IL6JAKSTAT3","PTPN1"
"IL6JAKSTAT3","PTPN11"
"IL6JAKSTAT3","PTPN2"
"IL6JAKSTAT3","REG1A"
"IL6JAKSTAT3","SOCS1"
"IL6JAKSTAT3","SOCS3"
"IL6JAKSTAT3","STAM2"
"IL6JAKSTAT3","STAT1"
"IL6JAKSTAT3","STAT2"
"IL6JAKSTAT3","STAT3"
"IL6JAKSTAT3","TGFB1"
"IL6JAKSTAT3","TLR2"
"IL6JAKSTAT3","TNF"
"IL6JAKSTAT3","TNFRSF12A"
"IL6JAKSTAT3","TNFRSF1A"
"IL6JAKSTAT3","TNFRSF1B"
"IL6JAKSTAT3","TNFRSF21"
"IL6JAKSTAT3","TYK2"
"OxidativePhos_neg","ABCB7"
"OxidativePhos_neg","ACAA1"
"OxidativePhos_neg","ACAA2"
"OxidativePhos_neg","ACADM"
"OxidativePhos_neg","ACADSB"
"OxidativePhos_neg","ACADVL"
"OxidativePhos_neg","ACAT1"
"OxidativePhos_neg","ACO2"
"OxidativePhos_neg","AFG3L2"
"OxidativePhos_neg","AIFM1"
"OxidativePhos_neg","ALAS1"
"OxidativePhos_neg","ALDH6A1"
"OxidativePhos_neg","ATP1B1"
"OxidativePhos_neg","ATP5F1A"
"OxidativePhos_neg","ATP5F1B"
"OxidativePhos_neg","ATP5F1C"
"OxidativePhos_neg","ATP5F1D"
"OxidativePhos_neg","ATP5F1E"
"OxidativePhos_neg","ATP5MC1"
"OxidativePhos_neg","ATP5MC2"
"OxidativePhos_neg","ATP5MC3"
"OxidativePhos_neg","ATP5ME"
"OxidativePhos_neg","ATP5MF"
"OxidativePhos_neg","ATP5MG"
"OxidativePhos_neg","ATP5PB"
"OxidativePhos_neg","ATP5PD"
"OxidativePhos_neg","ATP5PF"
"OxidativePhos_neg","ATP5PO"
"OxidativePhos_neg","ATP6AP1"
"OxidativePhos_neg","ATP6V0B"
"OxidativePhos_neg","ATP6V0C"
"OxidativePhos_neg","ATP6V0E1"
"OxidativePhos_neg","ATP6V1C1"
"OxidativePhos_neg","ATP6V1D"
"OxidativePhos_neg","ATP6V1E1"
"OxidativePhos_neg","ATP6V1F"
"OxidativePhos_neg","ATP6V1G1"
"OxidativePhos_neg","ATP6V1H"
"OxidativePhos_neg","BAX"
"OxidativePhos_neg","BCKDHA"
"OxidativePhos_neg","BDH2"
"OxidativePhos_neg","CASP7"
"OxidativePhos_neg","COX10"
"OxidativePhos_neg","COX11"
"OxidativePhos_neg","COX15"
"OxidativePhos_neg","COX17"
"OxidativePhos_neg","COX4I1"
